class_name,component_guard_rejections,family,guard_and_no_guard_outputs_identical,input_duplicate_frame_identity_count,maximum_indegree,maximum_outdegree,proposal_cycle_present,protocol,reciprocal_proposal_count,sequence,strict_time_order_violations,temporal_candidate_count,tracker
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,deepocsort
tricycle,0,legacy12,True,0,1,1,False,official_detector,1,data30-2,0,2,bytetrack
tricycle,0,legacy12,True,0,1,1,False,official_detector,1,data30-2,0,5,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-2,0,0,deepocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,19,data30-2,0,509,bytetrack
awning-bike,0,legacy12,True,0,1,1,False,official_detector,8,data30-2,0,131,ocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,2,data30-2,0,9,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,38,data30-3,0,5257,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,43,data30-3,0,6610,ocsort
car,0,legacy12,True,0,1,1,False,official_detector,5,data30-3,0,374,deepocsort
bike,0,legacy12,True,0,1,1,False,official_detector,17,data30-3,0,423,bytetrack
bike,0,legacy12,True,0,1,1,False,official_detector,15,data30-3,0,254,ocsort
bike,0,legacy12,True,0,1,1,False,official_detector,1,data30-3,0,22,deepocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,65,data30-3,0,10261,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,47,data30-3,0,3238,ocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,7,data30-3,0,245,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,3,data30-3,0,17,bytetrack
van,0,legacy12,True,0,1,1,False,official_detector,1,data30-3,0,1,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,deepocsort
bus,0,legacy12,True,0,1,1,False,official_detector,1,data30-3,0,1,bytetrack
bus,0,legacy12,True,0,1,1,False,official_detector,1,data30-3,0,1,ocsort
bus,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,0,deepocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,19,data30-3,0,520,bytetrack
awning-bike,0,legacy12,True,0,1,1,False,official_detector,5,data30-3,0,64,ocsort
awning-bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-3,0,3,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,11,data30-4,0,684,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,14,data30-4,0,1110,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,34,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,bytetrack
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,ocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,deepocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,30,data30-4,0,3060,bytetrack
pedestrian,0,legacy12,True,0,1,1,False,official_detector,13,data30-4,0,434,ocsort
pedestrian,0,legacy12,True,0,1,1,False,official_detector,18,data30-4,0,628,deepocsort
van,0,legacy12,True,0,1,1,False,official_detector,3,data30-4,0,34,bytetrack
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,26,ocsort
van,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,2,deepocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,bytetrack
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,ocsort
truck,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,deepocsort
bus,0,legacy12,True,0,1,1,False,official_detector,2,data30-4,0,10,bytetrack
bus,0,legacy12,True,0,1,1,False,official_detector,2,data30-4,0,12,ocsort
bus,0,legacy12,True,0,1,1,False,official_detector,1,data30-4,0,2,deepocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,bytetrack
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,ocsort
tricycle,0,legacy12,True,0,0,0,False,official_detector,0,data30-4,0,0,deepocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,3,data30-4,0,71,bytetrack
awning-bike,0,legacy12,True,0,1,1,False,official_detector,3,data30-4,0,26,ocsort
awning-bike,0,legacy12,True,0,1,1,False,official_detector,3,data30-4,0,8,deepocsort
car,0,legacy12,True,0,1,1,False,official_detector,4,data30-5,0,116,bytetrack
car,0,legacy12,True,0,1,1,False,official_detector,8,data30-5,0,93,ocsort
car,0,legacy12,True,0,0,0,False,official_detector,0,data30-5,0,11,deepocsort
bike,0,legacy12,True,0,0,0,False,official_detector,0,data30-5,0,0,bytetrack
bike,0,legacy12,True,0,1,1,False,official_detector,1,data30-5,0,1,ocsort
